#Frame          1        2        3        4        5        6        7        8        9       10
       1    0.000    1.928    1.405    1.832    1.112    1.968    1.194    1.922    1.939    2.211
       2    1.928    0.000    2.087    1.323    2.055    1.064    2.266    1.174    1.415    1.487
       3    1.405    2.087    0.000    1.739    1.248    2.044    1.066    2.056    1.679    1.793
       4    1.832    1.323    1.739    0.000    1.745    1.402    1.886    1.201    0.712    1.322
       5    1.112    2.055    1.248    1.745    0.000    1.986    0.985    1.815    1.863    2.041
       6    1.968    1.064    2.044    1.402    1.986    0.000    2.034    0.982    1.449    1.184
       7    1.194    2.266    1.066    1.886    0.985    2.034    0.000    2.002    1.899    1.976
       8    1.922    1.174    2.056    1.201    1.815    0.982    2.002    0.000    1.294    1.248
       9    1.939    1.415    1.679    0.712    1.863    1.449    1.899    1.294    0.000    1.310
      10    2.211    1.487    1.793    1.322    2.041    1.184    1.976    1.248    1.310    0.000
